SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,MultipleLines_No phone service,MultipleLines_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,gender_Male,CLV,MonthlyCost_ratio,tenure_years,is_high_value,is_new_customer,is_long_term
0,1,0,1,0,1,29.85,29.85,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,29.85,0.9675850891410048,0.08333333333333333,0,1,0
0,0,0,34,1,0,56.95,1889.5,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,True,1936.3000000000002,0.03012430573922243,2.8333333333333335,0,0,0
0,0,0,2,1,1,53.85,108.15,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,107.7,0.4933577645442052,0.16666666666666666,0,1,0
0,0,0,45,0,0,42.3,1840.75,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,1903.4999999999998,0.022967286548119994,3.75,0,0,1
0,0,0,2,1,1,70.7,151.65,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,141.4,0.46315099901735995,0.16666666666666666,0,1,0
0,0,0,8,1,1,99.65,820.5,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,797.2,0.12130249543517956,0.6666666666666666,0,0,0
0,0,1,22,1,1,89.1,1949.4,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,1960.1999999999998,0.04568293683347005,1.8333333333333333,0,0,0
0,0,0,10,0,0,29.75,301.9,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,297.5,0.09821723341036646,0.8333333333333334,0,0,0
0,1,0,28,1,1,104.8,3046.05,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,2934.4,0.03439392199012159,2.3333333333333335,0,0,0
0,0,1,62,1,0,56.15,3487.95,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,3481.2999999999997,0.01609366714914229,5.166666666666667,0,0,1
